"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
2006,37,40,30,24,9,48,87,135,152,82,56,48
2007,45,23,24,36,46,38,94,98,93,47,44,33
2008,30,20,38,5,40,63,58,55,84,76,57,94
2009,42,21,35,21,43,46,88,98,58,45,45,41
2010,49,38,47,31,29,45,66,188,123,56,29,32
2011,47,30,42,15,28,32,59,99,83,73,33,16
2012,46,22,21,11,66,50,50,153,79,49,62,25
2013,29,38,22,17,47,45,63,159,63,56,35,30
2014,30,18,14,36,40,49,80,103,78,46,42,45
2015,57,33,27,29,24,48,42,101,55,41,31,63
2016,24,17,23,27,25,44,56,122,58,60,42,32
2017,38,31,33,13,27,43,57,109,87,84,27,46
2018,46,30,33,19,48,50,99,72,56,58,68,64
2019,47,25,13,24,15,28,64,99,68,32,16,32
2020,31,19,40,23,42,62,67,63,29,96,41,55
2021,21,54,33,35,31,39,52,118,100,94,33,59
2022,49,39,36,43,18,23,74,117,89,46,33,24
2023,20,35,28,21,52,62,80,54,126,63,36,46
2024,32,25,33,24,31,59,61,145,106,75,47,34
2025,30,10,34,21,38,34,82,62,66,55,86,52
2026,33,14,34,18,56,55,102,107,76,36,44,37
2027,30,25,21,40,42,25,71,88,125,93,38,65
2028,44,28,24,35,41,64,78,106,93,72,54,39
2029,29,25,30,23,15,55,88,121,107,102,68,41
2030,69,46,18,40,33,55,85,154,81,53,18,16
2031,77,45,23,13,31,32,69,131,93,41,59,42
2032,25,22,48,30,33,27,118,102,63,56,48,18
2033,25,31,22,28,26,22,67,105,76,45,95,39
2034,36,27,11,36,31,46,92,41,107,48,57,28
2035,22,10,24,19,43,35,84,60,70,98,38,33
2036,25,13,34,16,49,44,80,107,29,69,51,17
2037,38,30,40,30,17,51,55,165,85,60,37,35
2038,60,44,10,18,19,40,81,120,47,53,55,45
2039,32,23,18,14,20,47,112,134,54,63,42,35
2040,34,25,26,34,21,52,27,72,53,84,39,43
2041,49,21,15,46,37,61,62,88,29,79,86,49
2042,75,26,31,11,19,35,65,106,63,66,54,64
2043,68,21,18,22,26,58,47,86,86,46,56,21
2044,40,12,24,27,55,41,50,128,113,60,72,28
2045,35,22,38,30,69,44,42,86,81,35,37,41
2046,17,32,24,19,37,51,85,184,56,44,42,38
2047,46,19,32,26,42,66,80,158,107,23,46,61
2048,51,18,39,27,37,49,97,121,58,44,47,36
2049,41,23,25,34,40,33,74,146,154,41,54,31
2050,26,22,27,10,35,56,61,103,122,48,71,44
2051,47,47,27,26,54,63,109,102,95,53,71,75
2052,26,36,14,26,36,28,72,79,83,32,63,16
2053,35,24,54,29,30,31,108,119,70,62,94,35
2054,49,23,36,17,25,28,38,138,67,57,74,35
2055,91,35,20,18,33,43,63,116,105,117,67,49
2056,26,17,17,49,38,71,86,137,83,57,48,63
2057,40,23,17,23,31,49,78,78,92,71,70,38
2058,28,25,38,36,29,46,59,117,112,53,59,43
2059,27,23,31,42,33,39,90,150,128,41,43,29
2060,41,29,45,39,47,44,90,180,113,49,82,56
2061,24,13,40,33,40,34,92,75,66,62,38,36
2062,52,37,28,17,34,46,91,127,70,18,39,32
2063,67,25,22,19,52,25,63,128,72,101,57,27
2064,26,25,14,41,47,40,101,93,79,72,86,57
2065,28,43,39,55,44,51,69,186,110,73,27,45
2066,50,37,43,56,46,62,93,90,110,51,37,68
2067,61,28,32,36,24,44,102,99,168,45,31,47
2068,31,25,22,30,24,56,84,139,76,69,66,69
2069,77,22,26,36,52,33,102,143,79,99,64,75
2070,33,47,33,33,39,70,54,129,112,53,32,49
2071,62,16,25,24,40,59,56,89,34,57,46,18
2072,74,26,15,43,44,42,106,169,96,55,38,43
2073,33,49,33,20,42,35,95,110,79,68,81,41
2074,28,19,27,18,33,66,95,145,83,82,31,33
2075,32,29,38,42,57,48,54,94,83,67,67,63
2076,33,44,44,26,57,61,87,59,120,66,30,17
2077,32,22,38,32,34,64,65,167,78,66,99,60
2078,39,27,33,64,66,66,65,79,85,49,73,28
2079,37,22,49,44,24,74,81,130,61,46,54,46
2080,54,13,40,27,45,58,128,69,96,79,34,67
2081,42,37,45,38,28,48,130,145,151,43,48,66
2082,72,14,33,45,56,47,72,137,144,76,42,44
2083,26,21,22,31,33,57,80,120,110,62,59,34
2084,48,39,30,13,48,54,55,147,66,72,56,61
2085,58,56,29,28,56,73,93,92,88,73,67,45
2086,47,12,30,41,49,43,111,100,170,31,78,29
2087,26,25,42,20,61,54,98,140,118,86,48,48
2088,43,43,24,24,43,81,111,136,57,79,57,63
2089,90,33,27,29,46,46,78,94,65,92,78,70
2090,29,19,46,22,36,69,79,135,145,56,119,54
2091,35,29,46,35,46,58,77,122,114,59,73,39
2092,52,22,27,45,76,57,86,127,72,73,58,40
2093,32,42,32,31,36,61,89,203,129,106,77,35
2094,49,30,48,26,49,50,158,146,117,53,74,88
2095,90,23,38,34,23,63,68,192,77,97,54,39
2096,32,29,36,11,42,68,93,205,60,52,69,64
2097,41,41,42,33,44,56,71,105,95,54,46,36
2098,35,42,68,47,81,30,78,133,41,44,59,60
2099,36,30,23,41,45,71,91,113,97,97,56,52
2100,35,22,25,34,24,41,78,106,72,51,77,45
