"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
2006,32,32,29,28,16,50,82,143,126,86,58,61
2007,52,22,25,33,43,49,113,81,100,71,54,36
2008,33,25,34,8,36,74,88,59,58,85,41,92
2009,42,24,33,20,32,73,104,106,70,57,42,55
2010,46,34,51,33,26,83,84,140,103,77,30,47
2011,47,24,33,26,32,41,69,86,94,100,34,26
2012,35,19,19,15,65,75,75,154,88,56,54,35
2013,41,38,25,20,45,63,101,133,87,55,51,34
2014,30,25,13,33,33,48,89,96,88,58,41,66
2015,53,30,32,34,22,67,63,98,52,45,41,74
2016,30,18,31,24,32,58,77,116,82,78,47,34
2017,42,31,37,17,24,56,80,108,85,73,31,56
2018,47,34,30,23,51,76,91,68,51,68,63,62
2019,53,21,28,25,24,43,74,97,87,47,19,49
2020,31,16,41,24,37,81,100,82,40,102,47,73
2021,38,40,31,30,30,55,70,105,109,91,36,62
2022,58,35,49,42,16,44,79,127,106,51,23,36
2023,25,48,30,29,50,66,89,60,103,59,27,49
2024,36,34,40,26,27,68,83,124,109,75,41,45
2025,32,12,30,26,28,46,90,76,71,67,91,74
2026,33,24,40,16,49,79,109,97,96,48,57,61
2027,33,20,17,34,41,49,90,114,127,67,22,90
2028,40,22,27,34,45,95,95,101,100,82,64,46
2029,30,30,44,26,17,80,105,111,107,124,62,52
2030,58,35,15,36,35,68,117,130,79,52,27,35
2031,64,49,27,19,34,56,83,114,95,50,55,44
2032,25,26,58,37,29,37,108,112,77,60,36,25
2033,19,22,24,39,27,32,88,102,78,59,92,54
2034,40,23,23,50,39,80,98,51,122,44,61,33
2035,26,16,25,32,47,41,105,75,96,130,37,43
2036,27,17,44,15,54,67,104,116,50,75,60,23
2037,21,38,37,32,20,77,79,147,115,84,33,45
2038,62,37,17,23,28,61,102,120,68,50,55,51
2039,33,17,15,16,31,69,123,114,53,64,45,52
2040,34,26,27,31,24,69,57,76,64,64,24,47
2041,47,20,23,36,38,68,82,100,56,80,86,77
2042,67,21,37,21,20,57,92,126,73,63,55,74
2043,82,19,28,34,20,91,80,104,63,73,58,17
2044,34,22,27,27,56,54,82,128,108,76,77,31
2045,34,36,32,31,66,63,61,90,89,37,43,49
2046,22,29,22,26,44,90,112,160,84,57,42,33
2047,37,19,25,26,34,68,109,141,114,60,41,67
2048,54,17,35,31,28,83,108,105,71,50,61,43
2049,42,22,31,34,39,64,90,137,148,37,62,43
2050,35,15,25,16,48,81,70,94,159,57,66,50
2051,47,48,38,29,51,76,121,66,114,59,52,92
2052,25,29,16,28,29,64,102,73,85,39,62,21
2053,40,23,62,36,30,61,131,116,87,61,78,33
2054,47,16,42,19,29,55,55,127,65,64,64,57
2055,61,29,25,24,36,78,87,104,94,116,81,54
2056,19,20,19,53,51,97,101,126,102,48,54,68
2057,29,25,17,18,45,70,92,78,95,70,67,45
2058,29,30,32,40,33,62,82,120,121,55,61,62
2059,25,30,40,40,38,65,125,136,118,47,68,44
2060,27,26,44,37,48,80,124,175,117,52,86,56
2061,26,20,42,28,31,61,118,88,65,43,38,41
2062,60,39,26,14,38,45,134,114,78,29,37,54
2063,54,19,24,25,40,49,72,110,81,108,59,31
2064,24,16,20,31,59,72,118,85,85,68,88,44
2065,33,49,56,53,37,87,102,149,105,92,36,55
2066,41,46,46,57,36,80,118,107,96,59,29,65
2067,53,32,50,41,30,70,122,92,127,56,43,63
2068,32,31,24,29,26,89,96,116,73,63,69,73
2069,60,13,32,45,56,51,126,152,78,106,58,102
2070,30,38,35,39,45,100,87,137,118,65,44,62
2071,67,25,29,24,47,82,80,88,55,60,48,31
2072,61,30,20,44,37,62,123,141,100,78,41,57
2073,37,63,39,26,40,79,119,100,83,60,79,52
2074,24,27,29,17,40,93,112,140,84,82,43,48
2075,27,26,35,55,57,82,81,91,75,63,87,64
2076,30,41,47,32,48,78,127,77,115,83,29,26
2077,32,15,40,32,33,102,107,157,78,84,101,55
2078,35,21,28,66,63,90,84,83,104,59,74,42
2079,43,28,48,40,37,96,101,130,89,56,56,51
2080,46,13,38,34,53,104,139,81,102,84,37,71
2081,43,30,39,34,31,80,146,161,146,56,51,74
2082,49,16,29,36,62,69,97,119,147,60,53,43
2083,16,28,22,32,32,70,91,124,102,68,65,52
2084,38,40,40,11,54,74,85,127,73,63,57,76
2085,55,51,27,33,57,98,112,93,108,61,71,47
2086,37,14,38,36,56,64,144,125,149,44,64,48
2087,36,23,33,35,59,92,135,126,127,103,50,77
2088,42,41,25,27,50,102,141,120,93,87,62,84
2089,78,31,27,38,61,80,103,94,71,92,84,77
2090,30,22,42,30,37,93,106,132,112,74,129,69
2091,34,28,34,43,54,88,105,127,108,77,76,46
2092,43,19,29,54,68,87,110,120,66,87,62,41
2093,33,42,33,30,35,92,104,185,154,105,80,47
2094,63,26,50,24,64,90,139,124,122,69,76,100
2095,90,21,33,37,29,81,98,174,93,108,53,55
2096,24,27,30,15,35,114,110,158,75,58,70,68
2097,39,31,40,44,52,79,96,114,86,72,57,54
2098,25,47,69,52,68,72,90,127,74,53,58,56
2099,41,26,20,44,40,108,116,134,110,107,60,61
2100,32,13,27,28,26,91,87,118,94,63,82,51
