"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
2006,17,21,17,15,4,21,68,88,96,48,28,30
2007,23,12,13,18,23,27,59,69,50,28,23,22
2008,10,9,20,2,18,41,34,35,42,44,29,62
2009,22,11,22,11,18,29,58,58,37,26,19,26
2010,22,16,27,22,14,24,54,127,71,33,18,15
2011,23,14,20,5,16,28,48,65,45,37,20,9
2012,23,10,14,6,33,30,27,86,48,25,37,15
2013,17,19,13,9,22,33,48,113,33,34,18,23
2014,14,10,12,21,15,32,51,77,41,24,18,25
2015,27,19,15,16,11,36,32,64,31,26,14,39
2016,12,10,12,16,12,30,34,79,37,29,19,21
2017,18,15,18,7,10,31,43,70,44,43,21,30
2018,22,15,21,15,18,31,68,43,33,30,33,39
2019,20,10,7,12,7,17,39,61,38,17,8,19
2020,16,8,23,13,15,44,40,35,18,46,20,37
2021,10,22,17,21,13,26,31,60,54,39,24,44
2022,28,18,22,20,8,10,48,87,56,24,14,15
2023,12,15,16,12,23,36,52,37,71,32,19,29
2024,16,13,19,13,15,35,34,115,62,44,24,20
2025,16,6,22,12,18,22,55,38,37,28,39,36
2026,15,7,17,8,30,39,59,71,43,22,20,21
2027,16,13,12,20,19,18,44,62,70,54,23,40
2028,20,13,16,26,28,41,54,68,49,41,29,24
2029,12,13,17,17,7,40,58,93,60,49,35,23
2030,37,22,7,19,19,38,55,97,46,31,13,13
2031,35,25,14,9,13,23,43,85,52,22,26,31
2032,12,10,27,16,16,14,90,81,39,26,23,12
2033,12,15,13,18,12,17,57,78,35,23,50,25
2034,17,11,9,16,21,29,65,31,57,30,32,19
2035,12,5,14,9,20,21,47,41,42,51,19,23
2036,10,6,20,8,22,25,47,74,20,37,25,12
2037,16,18,24,20,9,34,32,101,42,33,20,20
2038,30,21,7,11,11,19,55,73,24,31,28,29
2039,21,11,9,8,10,23,68,84,28,36,18,23
2040,16,11,18,21,10,39,23,42,29,48,25,27
2041,24,9,8,30,20,42,52,66,18,42,44,29
2042,37,12,16,6,10,19,41,78,41,40,25,39
2043,29,9,11,13,18,28,31,57,51,28,30,16
2044,18,7,14,12,25,23,34,81,58,34,35,19
2045,16,12,20,15,34,29,25,63,42,14,18,25
2046,9,15,11,9,18,27,61,121,28,21,29,26
2047,25,8,15,15,19,46,51,97,72,15,22,33
2048,24,10,21,14,19,34,70,90,40,28,22,27
2049,20,11,13,14,16,16,34,99,91,29,29,19
2050,14,8,11,5,15,42,39,67,68,28,31,29
2051,22,21,14,14,24,37,77,57,58,34,36,48
2052,15,15,10,16,15,15,46,52,56,24,36,11
2053,18,11,27,17,16,21,70,79,39,37,52,32
2054,25,10,18,8,12,15,21,85,39,32,35,25
2055,46,16,11,10,17,22,37,78,67,68,31,31
2056,15,9,9,25,20,52,57,94,47,33,26,41
2057,20,13,9,13,19,32,60,53,48,35,36,22
2058,15,13,24,21,16,32,31,64,63,31,34,26
2059,13,11,17,23,14,26,67,112,79,25,23,19
2060,20,16,22,23,22,21,50,114,68,28,40,38
2061,12,7,22,18,20,17,55,52,40,37,24,19
2062,25,19,16,10,16,22,62,87,47,12,23,18
2063,32,10,18,12,23,18,41,74,36,49,32,15
2064,14,9,9,26,22,29,60,72,51,40,39,30
2065,18,18,21,30,27,26,48,121,63,41,15,25
2066,21,19,24,31,24,31,63,52,74,33,21,40
2067,30,17,24,24,14,26,60,88,95,28,17,33
2068,17,15,11,17,13,39,69,93,46,37,31,45
2069,33,13,14,19,29,22,62,83,48,58,34,42
2070,17,22,17,20,20,48,28,80,64,34,22,31
2071,35,8,13,15,20,37,40,52,20,33,30,12
2072,40,16,9,31,19,32,65,115,58,34,22,25
2073,17,28,18,10,19,28,66,76,42,39,38,26
2074,16,11,15,7,16,42,63,91,49,46,17,21
2075,15,16,18,22,22,25,36,57,42,31,37,38
2076,17,20,31,16,35,48,55,37,61,43,16,12
2077,15,10,23,21,16,37,44,95,42,37,55,38
2078,18,14,21,35,31,42,57,54,58,25,39,19
2079,21,12,28,24,11,41,57,79,35,26,29,28
2080,26,10,24,17,25,45,94,54,60,47,16,42
2081,22,17,26,20,18,30,84,92,82,26,23,42
2082,34,6,19,24,30,32,58,86,82,37,29,26
2083,12,12,13,16,16,38,55,71,61,31,30,20
2084,22,19,16,7,25,46,47,113,42,47,27,41
2085,26,26,18,14,24,46,57,69,51,44,32,28
2086,19,9,15,28,27,24,71,77,103,22,38,22
2087,17,12,23,13,26,33,55,110,66,50,27,29
2088,20,20,16,19,21,55,74,96,40,42,29,39
2089,41,16,15,17,28,26,48,69,35,51,39,37
2090,13,10,21,11,18,43,56,80,83,30,64,34
2091,17,11,20,20,25,34,50,97,66,29,39,21
2092,27,11,12,23,41,39,62,76,41,47,25,24
2093,21,18,17,21,15,36,65,147,74,60,37,19
2094,22,15,26,17,27,36,115,86,62,29,33,58
2095,42,10,27,19,13,41,34,110,49,55,31,23
2096,12,12,17,8,28,42,64,143,39,33,38,41
2097,21,19,22,20,19,37,52,73,56,32,25,25
2098,16,18,37,26,40,25,58,103,23,27,29,38
2099,18,11,13,18,23,47,81,76,57,48,33,34
2100,16,10,12,20,11,27,50,70,42,25,38,31
