"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
2006,-22.3,-20.3,-27.2,-16.4,-0.8,9.8,10.7,8.6,5.8,-4.8,-16.7,-14.9
2007,-18.4,-20.3,-14.6,-6.5,-0.1,9.5,12.6,10.5,3.5,-5.9,-11.6,-22.2
2008,-22.4,-24.4,-16.6,-10.1,2.6,10.1,11.8,9.9,3.8,-6.2,-15.5,-16.2
2009,-17.8,-22.4,-17,-7.5,0.4,9.5,12.8,8.8,5.3,-9.9,-12.2,-16.5
2010,-18.5,-19.2,-22.9,-12.9,2,7.6,11.2,10.4,7.2,-3.9,-12.9,-26.5
2011,-18.4,-23.4,-19.7,-15.3,-4.2,5.3,10.5,10,2.5,-2.5,-17.1,-25.1
2012,-18.9,-23.2,-26.9,-11.9,0.3,8.6,11.8,6.9,1.5,-6.6,-16,-21.5
2013,-21.8,-20.1,-15.8,-7.2,2,9.1,10.6,8,3.8,-7.2,-15.3,-17
2014,-16.2,-20.9,-22.8,-11.3,2.3,10.7,12.8,9.1,3.8,-9.3,-13.6,-19.3
2015,-19,-22.1,-21.1,-8.4,2.3,10.2,11.1,10.1,3.5,-8.6,-19.7,-18
2016,-28.5,-21.2,-15.9,-10.1,0,9.6,11.7,7.8,2.3,-9.7,-17.2,-23
2017,-19.4,-16.5,-16.7,-9.2,0.7,8.4,12,9.8,2.9,-6.5,-15.8,-19.9
2018,-12.9,-21.8,-20.4,-17.4,0.5,6,11.1,10.6,2.9,-5.1,-11,-14.7
2019,-18.1,-20.8,-21.5,-9.9,1.7,9.5,12.5,12,6.1,-8.3,-19.3,-16.4
2020,-21.3,-24.4,-16.3,-10.3,2.8,8.6,12.4,8.1,0.8,-6.4,-11.2,-16.1
2021,-26,-25.1,-13.9,-10.5,2,8.7,14.7,10.9,3.9,-1.7,-14.6,-19.1
2022,-16.4,-14.7,-12.5,-10,2.5,9.7,14,10.5,4.1,-4.8,-16.8,-22.5
2023,-21,-27.6,-19.7,-13.2,1.7,9.4,13.1,10.1,4.2,-5.8,-14.6,-20.4
2024,-24,-22.9,-15.1,-12.1,-0.2,8.4,11,10.4,3.6,-5.6,-16.1,-19.8
2025,-23.7,-29.5,-17.9,-11.5,0.2,8.2,12.4,9.6,3.7,-3.4,-10.1,-15.6
2026,-20.7,-25.1,-12.6,-9.5,1.6,11,13.1,7.6,3.3,-5.2,-12,-22.5
2027,-17.4,-21.7,-20.4,-7.2,1.3,10.2,12.3,8.9,6.4,-4.4,-14,-22.8
2028,-15.9,-16.7,-16.5,-9.3,0.2,7.4,11.1,10.1,4.6,-5.8,-17.5,-13.1
2029,-22.3,-17.9,-18.1,-10,0.7,7.8,13.3,8,4.3,-3,-8.9,-18.7
2030,-14.3,-18.2,-16.3,-6.6,-0.5,10.8,12.3,8.6,4.2,-5.1,-13.9,-24.2
2031,-15.1,-18.3,-16.8,-11.7,-2.8,9.3,12.9,10.1,5.9,-6.4,-15.3,-19.3
2032,-17.4,-17.9,-16.8,-14.3,1.8,8,11.3,9.4,2.4,-3.9,-13.9,-23.2
2033,-23.5,-20.4,-15.2,-10.8,1.9,10.6,9.3,11.5,4.8,-9.2,-10.4,-13.4
2034,-20.1,-24.2,-24.2,-12,-0.6,9.7,11.7,8.1,2.8,-9.6,-10.1,-18
2035,-21.7,-22.5,-18.6,-12.1,1,11.7,13.2,9.5,3.1,-2.7,-12.9,-20.3
2036,-20.3,-24.3,-15.5,-10,0.8,11.7,11.1,9.3,2.1,-7,-14.4,-23.9
2037,-14.4,-24.8,-12.8,-10.4,1.9,10.2,14.4,10.2,2.7,-4.3,-10.4,-15.7
2038,-14.9,-15.8,-24,-8.9,1.6,10.9,12.4,9.3,3.3,-6.8,-11.5,-13.6
2039,-24,-21.5,-17.8,-12.9,-0.6,10.6,11.3,10.6,3,-8.3,-13.9,-15.1
2040,-19.6,-16.5,-17.4,-12.4,2.2,10.2,12.8,9.9,5.6,-4.4,-12.1,-14.6
