"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
2006,-20.3,-15.9,-18.9,-5.9,6.1,13.6,13.4,11.8,8.6,-0.6,-12,-10.4
2007,-14,-13.4,-6.2,2.6,7.6,13.4,14.9,14.3,7.3,-1.7,-8.4,-15.2
2008,-16.2,-16.1,-8.5,-2.7,7.7,12.4,14.2,12.8,5.9,-2.9,-16.9,-11.9
2009,-17.5,-16.5,-8.6,1.1,7.6,13.6,14.9,11.8,7.7,-7.1,-9.8,-12.9
2010,-15.4,-14,-13.4,-4,8,11.6,13.4,12.1,9,-0.6,-10.5,-22.4
2011,-14.3,-17,-12.2,-4.2,2.5,10.2,14.5,12.1,5.5,1.3,-16.3,-22.2
2012,-18.8,-17.2,-17.8,-3.6,5,11.1,15.2,9.5,5.1,-3,-12.8,-17.3
2013,-19.2,-13.8,-7.9,1.9,8,12.6,13.4,10.8,7.2,-5.2,-12.2,-12.7
2014,-14.2,-13.8,-16.2,-3.8,7.7,13.6,14.6,11.7,7,-4.7,-10.4,-15.1
2015,-17.3,-16.6,-12.1,-0.4,9.1,13,14.4,12.9,5.4,-5.2,-17.2,-14.4
2016,-24.7,-16.7,-7.9,-0.7,6.8,12.7,15.1,11.1,5.3,-4.8,-12,-18.9
2017,-15.9,-10.7,-7.2,0,7.3,12.1,15,12.6,5.7,-3.4,-15.8,-15.5
2018,-10.9,-16.4,-13.4,-7.7,6.2,10.6,13.9,12.9,5.2,-0.7,-9.2,-11.6
2019,-13.7,-15.3,-9.8,-1.1,8.1,14.2,14.8,14.1,8.7,-5.5,-19.2,-13.1
2020,-16.9,-18.8,-7.7,0.7,8.5,12.1,15.4,11.2,3,-3.6,-6.9,-11.3
2021,-21.9,-20.3,-6.6,-2.4,7.8,13.2,15.3,13.4,6.7,0.9,-15.3,-15.9
2022,-13.6,-10.4,-5.4,-1,9.4,14.7,15.1,12.4,7.2,-1.6,-17.7,-15.3
2023,-19.3,-15.2,-10,-3,7.6,11.9,15.4,12.6,7.3,-3,-14.2,-14.5
2024,-18.9,-15.6,-7,-3.5,7.2,12.4,14.1,12.6,6.4,-2.3,-14.9,-14.9
2025,-18.5,-23.4,-12.1,-2.4,6.2,12.2,14.9,11.3,6.7,0.3,-7.8,-11.4
2026,-17.1,-17.7,-5,1.3,6.8,13.2,15.6,10,6.7,-3.5,-7.6,-16.3
2027,-15.9,-15.5,-11.5,0.8,8.1,14.1,14.5,12.6,9,-3.5,-14.4,-15.7
2028,-12.9,-12.7,-9.1,-1.1,6.7,11.6,14.2,13.7,6.6,-1.4,-13.7,-10.1
2029,-18.5,-13.4,-7.8,-0.9,7.2,12,15.6,10.1,6.3,0.8,-7.8,-16.4
2030,-11.8,-14.1,-9.5,1.7,6.3,13.9,15.1,11.4,7.5,-2.5,-15.3,-21.4
2031,-13.2,-12,-8.6,-1.3,5.7,13.5,16.2,11.9,8.1,-3.5,-12.1,-16.9
2032,-15.3,-12.6,-8.6,-4.8,9.2,14.5,14.6,12.9,5.3,-0.4,-12.9,-19.1
2033,-21.3,-14.3,-7.9,-0.1,8,16.1,13.2,14.7,8.9,-4.6,-8.1,-9.7
2034,-15.4,-15.7,-16,-2.2,6.4,13.1,14.6,11.4,6.6,-6.8,-9.7,-14.5
2035,-19.4,-17.3,-10.7,-0.2,7.7,15.1,14.8,11.8,7,1.2,-11.2,-15.7
2036,-15.8,-16.9,-6.9,-0.4,8.7,14.4,13.5,11.1,5.2,-2.6,-9.9,-19.2
2037,-13.3,-19.9,-6.4,-1.9,8.1,13.5,16.7,13.2,6.3,0.5,-13.2,-10.2
2038,-12.7,-9.8,-15.7,0.5,7.5,15,14.7,11.9,6.5,-4.5,-8.1,-10.1
2039,-22.8,-18,-8.4,-2.1,7.8,15.2,13.9,13.5,4.1,-6.7,-14.2,-11.6
2040,-16.8,-11,-10.7,-2.2,8.8,13.4,16.2,12.6,8.6,-3.8,-14.8,-12.3
2041,-10.8,-18,-14.7,-0.9,7.2,11.9,16,11,7,-0.8,-9.6,-16.5
2042,-12.9,-14.4,-5.8,-3.4,6.9,14,14.9,12.5,8.1,-5,-8.7,-7.9
2043,-14.3,-17.7,-10.6,-0.2,7.2,13.1,15.4,12.7,5.7,-2.2,-6.2,-21.2
2044,-17.8,-19.1,-9.5,1.4,7.6,14.6,15.3,13.6,6.8,-2.4,-8.4,-14.1
2045,-13.9,-19.3,-6.7,-1.1,5.5,12.7,15.8,13.4,7.5,-2.3,-10.7,-10.8
2046,-15.9,-10.6,-7.5,-1.1,7.3,12.6,14.1,11.7,5.2,-6.4,-11.6,-18.5
2047,-18.1,-16.1,-7.5,-0.4,7.6,13.8,15.8,11.9,7,-3.5,-6.6,-8.1
2048,-13.8,-18.2,-6.8,-1.3,9.7,11.9,14.8,14.1,5.5,-3.8,-6.4,-12
2049,-15.2,-11.8,-11.9,-0.4,6.8,12.8,17.2,11.7,8.9,-3.7,-5,-14.8
2050,-16.1,-19.2,-6.7,-1,6,10.7,16.4,14.7,9.3,-1.3,-5.3,-11
2051,-9.3,-9.1,-6.3,1.9,8.4,13.7,14.6,15.1,9.5,-1,-7.6,-10
2052,-15.9,-18.7,-11.9,0.1,9.9,15.1,15.8,13.5,5.5,-5.8,-12.6,-16.9
2053,-16.3,-13.7,-5.2,-2,9.3,15.3,16,13.1,7.2,-1.3,-7.4,-17.4
2054,-9,-16.5,-9.9,1.3,10.2,14.9,17.9,14.8,8.9,0.5,-4.7,-12.3
2055,-9.4,-10.1,-7.2,2,10.7,15.3,19.1,14.9,8,1.1,-8.4,-8.2
2056,-21.2,-16.8,-9.4,1.8,8.1,13.6,15.8,13.6,8.6,-0.7,-10.4,-9.4
2057,-15.8,-18.2,-9,-1,5.2,14.7,15,14.9,9.8,-0.9,-5.3,-10.2
2058,-19.8,-15,-9.2,0.1,8.1,14,15.6,13.9,8.5,-1.5,-13,-9.9
2059,-20.2,-11.5,-5.7,-2.9,6.2,13.8,15.4,13.6,7.7,-5.1,-8.5,-12.4
2060,-17.1,-14.8,-9.8,0.4,8.6,14.9,16,12.1,7.2,-2.6,-3.5,-11.8
2061,-17.7,-17.8,-12.5,1.3,9.3,15,14.9,11.9,8.2,-2,-8.7,-9.2
2062,-12.7,-13.8,-13.5,2.8,9.8,15.5,15.1,13.6,6.9,-1.5,-9.1,-13.6
2063,-10.1,-10.9,-14.6,-0.8,8.9,16.2,18.2,14.6,8.3,1.4,-4,-9.7
2064,-16.5,-16.8,-7.3,-1.1,8.9,13.7,15.4,14.3,5.8,-0.4,-5.4,-15.7
2065,-19.4,-12.9,-6.9,1.5,10.1,15,16.1,13.7,6.6,-0.6,-7.4,-11.2
2066,-19.8,-13,-4.2,0.6,10.2,13.4,15.9,14.4,7.6,-4.4,-11.6,-11.7
2067,-17.6,-15,-11.1,1.7,7.5,14.9,15.9,13.1,8.6,-0.5,-6.8,-11.8
2068,-21.9,-14.1,-12.6,1.3,10.4,13.6,14.5,12.7,5.9,-3.8,-3.9,-8
2069,-6.7,-16.1,-4.9,3,10.6,16.6,17.8,15.3,8.5,0.9,-7.5,-11.7
2070,-20,-12.4,-4.3,-0.8,6.8,13.3,16,13.4,7.8,-3.4,-9.9,-14
2071,-7.4,-14.2,-7.3,2.5,10.5,13.7,18.4,15,7.5,0.7,-9.3,-17.6
2072,-14.4,-18.3,-8,-0.9,7.5,15.2,14.7,12.9,8.3,-1.8,-7.7,-7.6
2073,-14.3,-5.6,-5.5,-1.3,9.8,14.1,15.3,14.4,8.6,-1.6,-6.1,-6.8
2074,-19.4,-15.5,-7.9,0.8,7.9,13.4,15,14.2,6.8,3.6,-5.8,-9.7
2075,-13.8,-15.9,-7,-3.6,8.2,14.8,15.5,13.8,10.3,-0.2,-6,-7.4
2076,-12.5,-13.1,-2.9,1.9,10.3,15.5,16.7,16.1,8.5,-2.2,-10,-12.9
2077,-11.2,-18,-7.5,1,10.1,13.4,17.7,13.8,11.3,2.5,-3.9,-11.7
2078,-12.2,-13.9,-7.8,1.9,8.4,13.6,16.4,15,9.2,1.3,-6.3,-9.9
2079,-13.1,-10,-7.9,3,9.7,14.3,17.9,15.2,8.9,-2,-8.7,-13
2080,-12.7,-18.2,-11.8,0.5,9,13.5,14,14.7,5.6,-2.3,-10.8,-9.8
2081,-12.5,-13.4,-2.3,0,8.4,14,13.7,12.4,7.7,-2.4,-7.5,-8.8
2082,-16,-13.3,-6.9,1.8,9,14.7,17.2,15.7,9.4,0,-10,-14
2083,-18.1,-17.7,-12.5,3.3,11.3,16.3,16.7,14.4,9.7,0.2,-6.9,-7.2
2084,-14,-9.2,-7.7,4.7,10.6,16.2,15.1,12.9,9,-1.5,-4,-12.8
2085,-10,-8.3,-10.9,2.2,9.7,15.1,17,14.1,9.1,-1.5,-4.4,-5.6
2086,-11.7,-16.7,-8.4,3,10,15.9,16.7,16.1,11,-0.6,-3.3,-6.7
2087,-18.8,-11.7,-2,-0.3,10.2,14.9,17.4,15.6,7.5,2.3,-7.1,-5.4
2088,-14.6,-11.2,-6,3.1,11.5,14.3,15.7,16.2,7.7,1,-3.8,-4
2089,-6.4,-7.6,-7.8,2.1,10,17.5,17.6,14.1,9.8,3.4,-0.9,-7.4
2090,-9.8,-11.1,-5,1.9,11.1,17.2,16.5,15.1,9,1.9,-2.4,-9.8
2091,-9.5,-11.3,-5.8,1.9,11.1,16.3,18.5,14.3,11,-1,-4.1,-4.6
2092,-9.1,-16.3,-7.3,4.5,10.9,14.6,16.8,14.9,10.4,0.9,-7.5,-10.8
2093,-18.4,-9.8,-6.4,0.2,8.5,14.5,16.5,13.4,9.5,2.1,-3.1,-13.2
2094,-11.6,-14.3,-6.5,3.5,10,15.5,15.8,14.4,9,-1.2,-3.5,-6.7
2095,-7.8,-17.5,-8.9,-0.9,9.8,13.2,18,15,7.7,-1.2,-6.4,-11.7
2096,-15.2,-12.7,-5.6,-4.8,8.8,13.5,17.3,14.8,7.5,-3.1,-5.4,-6.3
2097,-12.8,-15.4,-6.9,-1.5,9.6,14.9,17.5,13.2,9.4,1.1,-4.1,-6.4
2098,-15.3,-8.5,-6,0.4,8.7,15.4,17.5,14.4,8.9,0.1,-2,-5.8
2099,-10.5,-11.6,-6.4,3.8,9.8,15.8,15.7,15.1,9.1,0.8,-5.3,-9.9
2100,-14.6,-16.8,-5.3,3.6,11.5,15.8,18.2,16.2,10.3,1.9,-4.9,-10.9
