"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
2006,-20.5,-18.8,-26.1,-15.7,-0.6,8.9,10.4,8.7,6.6,-3.1,-14.7,-13.4
2007,-16.7,-19.2,-13.8,-6.4,-0.1,8.7,12,10.6,4.3,-4.2,-9.5,-19.7
2008,-21.4,-22.6,-15.7,-9.3,2.5,9.2,11.3,9.9,4.9,-4.1,-13.1,-15
2009,-16,-21,-15.6,-6.9,0.6,8.6,12.6,9.1,6.1,-7.7,-10.5,-15.1
2010,-17.3,-17.7,-21.8,-12,2.1,6.7,11.1,10.6,7.8,-2.4,-11,-24
2011,-16.7,-22.1,-18.3,-15.1,-4.1,4.7,10,10,3.8,-1.1,-14,-23.2
2012,-17.9,-21.8,-25.9,-11.3,0.5,7.8,11.1,7.1,2.5,-4.7,-14.2,-19.5
2013,-20.7,-19.5,-14.9,-7.1,1.9,8.2,10.5,8.2,4.3,-4.9,-13.5,-15.4
2014,-14.7,-19.8,-21.2,-10.4,2,9.5,12.4,9.8,4.7,-6.6,-11.7,-17.6
2015,-17.3,-20.1,-20,-8,2.4,9.1,10.8,10.2,4.5,-6.1,-17.4,-16
2016,-26.9,-19.7,-14.8,-9.6,0.6,9,11.2,8,3.2,-7.8,-15.5,-21.7
2017,-18.7,-15.2,-16.1,-8.5,0.6,7.9,11.3,10,4,-4.5,-13.8,-18.5
2018,-11.4,-20.5,-19.4,-16.5,0.2,5.3,10.6,10.8,3.9,-3.1,-9,-12.5
2019,-16.7,-19.1,-20.7,-9.6,2,8.4,12,12.2,6.8,-5.9,-17,-14.7
2020,-20.1,-23,-15.2,-10.1,2.7,7.9,11.7,8.7,2.1,-4.5,-9.2,-14.5
2021,-24.7,-23,-13,-9.3,2.2,7.9,14.2,11.1,4.6,0,-12.2,-16.9
2022,-14.9,-13.3,-11.6,-9.5,2.6,8.8,13.7,10.7,4.8,-2.8,-14.3,-20.1
2023,-19.7,-26.9,-18.1,-12.5,1.4,8.6,12.4,10.5,5.3,-3.9,-12.3,-17.9
2024,-22.5,-21.7,-14.1,-11.2,-0.1,7.4,10.3,10.7,4.6,-3.5,-13.7,-17.8
2025,-21.8,-28.3,-16.7,-10.9,0.1,7.4,11.9,9.5,4.3,-2.1,-8.4,-14
2026,-19,-23.5,-11.6,-9.3,1.7,10.3,12.6,8.1,4.5,-3.5,-10.2,-20.6
2027,-16.3,-20.2,-19.4,-6.7,1,9.1,11.6,9,6.8,-2.3,-11.1,-20.5
2028,-15.1,-15.1,-15.3,-8.6,0.4,6.4,10.8,10,5.5,-3.2,-15.2,-11.1
2029,-20.7,-16.8,-17.1,-9.5,1.1,7.2,12.8,8.6,5.3,-1.2,-6.7,-15.7
2030,-12.9,-16.6,-15,-6.2,-0.1,9.7,12.2,9.2,5,-3.4,-11.6,-21.7
2031,-13.7,-17.5,-15.6,-11.2,-2.4,8.5,12.4,10.4,6.5,-4.3,-13.4,-18.1
2032,-15.6,-16.6,-15.9,-13.5,1.7,7.1,10.5,9.3,3.3,-2.3,-11.8,-21
2033,-21.8,-19.2,-14.3,-9.9,2.3,9.5,9.4,11.5,6,-6.7,-8.6,-11.5
2034,-19,-23.7,-23.3,-11.6,-0.4,9.2,11,8.6,3.8,-7.3,-8.2,-15.6
2035,-20.2,-21.3,-17.5,-12,0.7,10.5,12.7,10.1,3.8,-1.4,-10.7,-17.6
2036,-19.3,-22.7,-15,-9.3,0.5,10.4,10.7,9.7,3.2,-5.1,-12.6,-21.9
2037,-12.8,-23.3,-11.8,-9.7,2,9.2,13.7,10.3,3.8,-2.5,-8.5,-13.6
2038,-13.4,-14.9,-23,-8.2,1.7,9.7,12.1,9.6,4.4,-4.6,-9.1,-11.6
2039,-21.8,-19.7,-16.5,-11.5,-0.6,9.7,10.8,10.7,4.3,-6.2,-11.7,-12.9
2040,-18.6,-15.1,-16.4,-11.4,2.2,9.4,12.8,10.3,6.2,-2.3,-9.8,-12.3
2041,-11.5,-21.6,-21.9,-8.1,1,6.9,12,8.7,5.4,-2,-9.1,-18.5
2042,-15.4,-20.1,-14.4,-12.9,-0.2,8.7,11,9.7,5.3,-3.8,-9.2,-9.5
